,#,Name_with_Channel_id,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,Name,ChannelId,subscriber_count,view_count,video_count
41,43,MalaMala Game Reserve @UCry5EFdbEMavAhQZht_nVbw,437K,-,South Africa,Video Gaming,131.1K,MalaMala Game Reserve ,UCry5EFdbEMavAhQZht_nVbw,1000000,432782574,755
42,44,Dj Maphorisa @UCFXyVm03fMlzI4B4sQkDtBA,424K,3.3%,South Africa,,127.2K,Dj Maphorisa ,UCFXyVm03fMlzI4B4sQkDtBA,632000,207738809,109
43,45,Jono Dry @UC1ez5vPW1WtzXLd1G18XI3w,411K,0.3%,South Africa,,123.3K,Jono Dry ,UC1ez5vPW1WtzXLd1G18XI3w,502000,43806774,232
44,46,Mihlali N @UCWhkEFN9UXdV2zFFZvP7O0A,394K,2.4%,South Africa,,118.2K,Mihlali N ,UCWhkEFN9UXdV2zFFZvP7O0A,451000,35800672,208
45,47,TechNick @UCK81mcGq-hLp3oqYG6dOcaw,391K,0.5%,South Africa,Technology,117.3K,TechNick ,UCK81mcGq-hLp3oqYG6dOcaw,462000,136054484,627
46,48,Mr. Bow @UCRuStbjeDvthcvGcr1XO82Q,384K,-,South Africa,,115.2K,Mr. Bow ,UCRuStbjeDvthcvGcr1XO82Q,501000,150468067,249
47,49,IdolsSA @UCIqNOMtvwCM3vwFi38WvQ5g,381K,-,South Africa,,114.3K,IdolsSA ,UCIqNOMtvwCM3vwFi38WvQ5g,414000,159746000,1500
48,50,SABC Education Shows @UCnHspqMx6eWIgCQfExI4Rdg,370K,-,South Africa,,111K,SABC Education Shows ,UCnHspqMx6eWIgCQfExI4Rdg,376000,9793216,2782
49,51,Sasenathi Studios @UCexgibQk1N1h5VILnh0lXTw,370K,2%,South Africa,Celebrity,111K,Sasenathi Studios ,UCexgibQk1N1h5VILnh0lXTw,753000,174962667,202
50,52,1 Magic @UCAG4-W08jyodx28VmG-xxMw,356K,-,South Africa,,106.8K,1 Magic ,UCAG4-W08jyodx28VmG-xxMw,420000,226217781,2627
51,53,AfricaOnNetflix @UCzi3g9ade6lq-nGjShQOJJg,356K,-,South Africa,,106.8K,AfricaOnNetflix ,UCzi3g9ade6lq-nGjShQOJJg,467000,80423860,1117
52,54,BOLO HOUSE MUSIC @UCZBIKNpYXxh-Hl7vf7swyLQ,348K,-,South Africa,,104.4K,BOLO HOUSE MUSIC ,UCZBIKNpYXxh-Hl7vf7swyLQ,400000,178779933,4449
53,55,Muslim Central @UCz4AXmFeSbi-0vPXI102Q5w,346K,-,South Africa,,103.8K,Muslim Central ,UCz4AXmFeSbi-0vPXI102Q5w,758000,175278804,2656
